"FIPSCode","YEAR","TEMPERATURE_MA","TEMPERATURE_INDEX"
28043,2021,59.1,"Hotter"
28051,2021,59.4,"Hotter"
28067,2021,60.4,"Hotter"
28107,2021,55.7,"Hotter"
28109,2021,62.1,"Hotter"
28113,2021,61.9,"Hotter"
28119,2021,55.7,"Hotter"
28149,2021,60.2,"Hotter"
28163,2021,59.2,"Hotter"
36001,2021,34.8,"Hotter"
21213,2021,49.4,"Hotter"
21219,2021,48,"Hotter"
21231,2021,47.5,"Hotter"
21239,2021,47.1,"Hotter"
28005,2021,61.7,"Hotter"
28019,2021,58.1,"Hotter"
28045,2021,62.6,"Hotter"
28075,2021,58.3,"Hotter"
28079,2021,58.1,"Hotter"
28127,2021,60.6,"Hotter"
28141,2021,54.5,"Hotter"
28151,2021,58.1,"Hotter"
28157,2021,61.6,"Hotter"
21221,2021,50.4,"Hotter"
21227,2021,49.9,"Hotter"
21229,2021,47.7,"Hotter"
28009,2021,54.1,"Hotter"
28011,2021,56,"Hotter"
28115,2021,56.2,"Hotter"
28121,2021,59.8,"Hotter"
28123,2021,58.7,"Hotter"
28135,2021,58,"Hotter"
28139,2021,54.2,"Hotter"
28153,2021,60.1,"Hotter"
28155,2021,58.2,"Hotter"
28161,2021,57.4,"Hotter"
36011,2021,35.5,"Hotter"
21223,2021,45.5,"Hotter"
28007,2021,58.5,"Hotter"
28015,2021,59.8,"Hotter"
28031,2021,60.7,"Hotter"
28041,2021,61,"Hotter"
28055,2021,59.2,"Hotter"
28063,2021,61,"Hotter"
28091,2021,61.9,"Hotter"
28101,2021,58.5,"Hotter"
28111,2021,61,"Hotter"
28143,2021,54.2,"Hotter"
28145,2021,55.4,"Hotter"
28159,2021,57.1,"Hotter"
36005,2021,43.2,"Hotter"
36019,2021,67.1,"Hotter"
28003,2021,54.2,"Hotter"
28013,2021,57.4,"Hotter"
28021,2021,60.9,"Hotter"
28023,2021,59.3,"Hotter"
28027,2021,54.8,"Hotter"
28057,2021,55.8,"Hotter"
28069,2021,57.2,"Hotter"
28071,2021,55.8,"Hotter"
28083,2021,59.7,"Hotter"
28085,2021,61.3,"Hotter"
28093,2021,54.6,"Hotter"
28095,2021,56.8,"Hotter"
28099,2021,57.6,"Hotter"
28137,2021,54.9,"Hotter"
28147,2021,61.9,"Hotter"
21217,2021,48.2,"Hotter"
21225,2021,46.5,"Hotter"
21233,2021,47.1,"Hotter"
21237,2021,46.8,"Hotter"
28035,2021,61.2,"Hotter"
28047,2021,62.4,"Hotter"
28061,2021,59.3,"Hotter"
28077,2021,61.6,"Hotter"
28087,2021,56.8,"Hotter"
28117,2021,55,"Hotter"
28133,2021,58.2,"Hotter"
36037,2021,36,"Hotter"
36087,2021,39,"Hotter"
36093,2021,34.2,"Hotter"
47033,2021,52,"Hotter"
47037,2021,51.5,"Hotter"
47041,2021,50.1,"Hotter"
47061,2021,49.6,"Hotter"
47063,2021,47.8,"Hotter"
47073,2021,47.3,"Hotter"
47121,2021,50.3,"Hotter"
47133,2021,49.7,"Hotter"
47139,2021,50.5,"Hotter"
47145,2021,49.8,"Hotter"
36029,2021,69.4,"Hotter"
36037,2021,69.3,"Hotter"
47015,2021,50.5,"Hotter"
47031,2021,51,"Hotter"
47035,2021,47.7,"Hotter"
47053,2021,51.8,"Hotter"
47089,2021,49,"Hotter"
47099,2021,51.9,"Hotter"
47113,2021,52.9,"Hotter"
47163,2021,47.6,"Hotter"
47179,2021,48.1,"Hotter"
36033,2021,65.4,"Hotter"
36047,2021,43.8,"Hotter"
36121,2021,68.1,"Hotter"
47051,2021,51.8,"Hotter"
47057,2021,47.2,"Hotter"
47059,2021,48,"Hotter"
47087,2021,50.2,"Hotter"
47109,2021,53.7,"Hotter"
47115,2021,51.4,"Hotter"
47119,2021,51.2,"Hotter"
